Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Cover color (product.metafields.shopify.cover-color),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
la-e8-earrings,LA-E8 | Earrings,"",CB,Apparel & Accessories > Jewelry > Earrings,"","",true,Metal,Gold,,Color,Black,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'14777403,,,,false,,,gold,,,,,kg,,,active
la-e8-earrings,,,,,,,,,Gold,,,White,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'05942843,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Champagne,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'05975611,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06008379,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Bordeaux,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06041147,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Green,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06073915,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Fuchsia,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06106683,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Petrol Blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06139451,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Lilla,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06172219,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Nude,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06204987,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Nude (Dark),,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06237755,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Baby blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06270523,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Almond green,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06303291,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Pink,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06336059,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Gold,,,Gold/Taupe,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06368827,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Black,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'14810171,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,White,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06401595,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Champagne,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06434363,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06467131,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Bordeaux,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06499899,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Green,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06532667,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Fuchsia,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06565435,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Petrol Blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06598203,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Lilla,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06630971,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Nude,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06663739,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Nude (Dark),,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06696507,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Baby blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06729275,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Almond green,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06762043,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Pink,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06794811,,,,,,,,,,,,kg,,,
la-e8-earrings,,,,,,,,,Silver,,,Gold/Taupe,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'06827579,,,,,,,,,,,,kg,,,
la-e5-earrings,LA-E5 | Earrings,"",CB,Apparel & Accessories > Jewelry > Earrings,"","",true,Metal,Gold,,Color,White,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'14711867,,,,false,,,gold,,,,,kg,,,active
la-e5-earrings,,,,,,,,,Gold,,,Black,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02436667,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Champagne,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02469435,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02502203,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Bordeaux,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02534971,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Green,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02567739,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Fuchsia,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02600507,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Petrol Blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02633275,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Lilla,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02666043,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Nude,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02698811,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Nude (dark),,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02731579,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Baby blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02764347,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Almond green,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02797115,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Pink,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02829883,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Gold,,,Gold/Taupe,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02862651,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,White,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'14744635,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Black,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02895419,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Champagne,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02928187,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02960955,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Bordeaux,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'02993723,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Green,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03026491,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Fuchsia,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03059259,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Petrol Blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03092027,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Lilla,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03124795,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Nude,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03157563,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Nude (dark),,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03190331,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Baby blue,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03223099,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Almond green,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03255867,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Pink,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03288635,,,,,,,,,,,,kg,,,
la-e5-earrings,,,,,,,,,Silver,,,Gold/Taupe,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'03321403,,,,,,,,,,,,kg,,,
la-e2-earrings,LA-E2 | Earrings,"",CB,Apparel & Accessories > Jewelry > Earrings,"","",true,Metal,Gold,,Color,White,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'14646331,,,,false,,,gold,,,,,kg,,,active
la-e2-earrings,,,,,,,,,Gold,,,Black,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,'17018427,,,,,,,,,,,,kg,,,
